chembl_id,name,dev_phase,best_pchembl,assay_type,score,drug_likeness,qed,ro5_violations,mw,alogp,hbd,hba,tpsa,similarity,smiles,chembl_url
CHEMBL29197,CHEMBL29197,research/preclinical,10.6,IC50,0.9206,0.856,0.76,0,360.21,4.15,1,5,56.27,,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL29197/
CHEMBL176582,CHEMBL176582,research/preclinical,11.0,IC50,0.9016,0.754,0.59,0,354.21,4.02,1,5,55.63,,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL176582/
CHEMBL53428,CHEMBL53428,research/preclinical,10.05,IC50,0.8978,0.874,0.79,0,344.22,3.6,1,5,53.94,,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL53428/
CHEMBL328106,CHEMBL328106,research/preclinical,10.14,IC50,0.8955,0.856,0.76,0,360.21,4.15,1,5,56.27,,COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OC,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL328106/
CHEMBL54400,CHEMBL54400,research/preclinical,9.89,IC50,0.8843,0.862,0.77,0,330.19,3.57,2,5,62.73,,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL54400/
CHEMBL51853,CHEMBL51853,research/preclinical,9.89,IC50,0.8819,0.856,0.76,0,316.16,3.11,2,5,76.72,,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL51853/
CHEMBL174426,CHEMBL174426,research/preclinical,10.6,IC50,0.8798,0.754,0.59,0,354.21,4.02,1,5,55.63,,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL174426/
CHEMBL420624,CHEMBL420624,research/preclinical,10.0,IC50,0.8759,0.826,0.71,0,315.17,3.72,2,4,63.83,,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL420624/
CHEMBL188762,CHEMBL188762,research/preclinical,10.0,IC50,0.8759,0.826,0.71,0,371.24,4.48,2,4,66.91,,CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL188762/
CHEMBL166154,CHEMBL166154,research/preclinical,9.72,IC50,0.875,0.862,0.77,0,285.74,3.46,2,5,62.73,,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL166154/
CHEMBL474147,CHEMBL474147,research/preclinical,9.38,IC50,0.8732,0.904,0.84,0,292.34,2.55,2,4,65.85,,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL474147/
CHEMBL285063,CHEMBL285063,research/preclinical,10.1,IC50,0.8717,0.802,0.67,0,369.22,4.26,2,4,66.91,,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL285063/
CHEMBL7917,TYRPHOSTIN AG-1478,research/preclinical,9.51,IC50,0.8683,0.874,0.79,0,315.76,4.04,1,5,56.27,,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL7917/
CHEMBL316064,CHEMBL316064,research/preclinical,9.62,IC50,0.8671,0.856,0.76,0,349.31,4.41,1,5,56.27,,COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL316064/
CHEMBL516022,CHEMBL516022,research/preclinical,9.32,IC50,0.8652,0.892,0.82,0,293.33,2.02,2,5,78.21,,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL516022/
CHEMBL327307,CHEMBL327307,research/preclinical,10.14,IC50,0.8643,0.778,0.63,0,439.11,4.92,1,5,56.27,,COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL327307/
CHEMBL592617,CHEMBL592617,research/preclinical,9.77,IC50,0.8633,0.826,0.71,0,382.22,3.99,2,5,90.7,,N#CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL592617/
CHEMBL334697,CHEMBL334697,research/preclinical,9.77,IC50,0.8609,0.82,0.7,0,384.24,3.68,1,5,71.01,,C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL334697/
CHEMBL161956,CHEMBL161956,research/preclinical,9.66,IC50,0.8597,0.832,0.72,0,374.24,2.96,2,6,74.17,,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL161956/
CHEMBL52913,CHEMBL52913,research/preclinical,9.6,IC50,0.854,0.826,0.71,0,324.77,4.15,2,4,66.91,,C=CC(=O)Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL52913/
CHEMBL162821,CHEMBL162821,research/preclinical,9.35,IC50,0.8524,0.856,0.76,0,265.32,3.12,2,5,62.73,,CNc1cc2c(Nc3cccc(C)c3)ncnc2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL162821/
CHEMBL328216,CHEMBL328216,research/preclinical,9.92,IC50,0.8523,0.778,0.63,0,330.19,3.3,3,5,89.85,,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL328216/
CHEMBL328955,CHEMBL328955,research/preclinical,9.6,IC50,0.8516,0.82,0.7,0,270.72,3.61,2,4,63.83,,Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL328955/
CHEMBL522134,CHEMBL522134,research/preclinical,9.38,IC50,0.8516,0.85,0.75,0,303.37,3.65,1,3,54.88,,C=CC(=O)Nc1ccc2ncnc(Cc3cccc(C)c3)c2c1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL522134/
CHEMBL491083,CHEMBL491083,research/preclinical,9.77,IC50,0.8513,0.796,0.66,0,383.25,4.39,1,5,67.77,,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL491083/
